Artist,Song Name,Song Rating,Song Hits,Page Type,Difficulty,Key,Capo,Tuning
Ed Sheeran,Perfect,"31,694",25794778,Chords,novice, Ab, 1st fret, E A D G B E
John Legend,All Of Me,"20,169",25653362,Chords,novice, Fm, 1st fret, E A D G B E
Passenger,Let Her Go,"17,267",24556593,Chords,novice, Em, 7th fret, E A D G B E
Led Zeppelin,Stairway To Heaven,"11,839",20762763,Tab,intermediate, Am,No Capo, E A D G B E
Jason Mraz,Im Yours ,"12,247",20326678,Chords,novice, B, 4th fret, E A D G B E
Elvis Presley,Cant Help Falling In Love,"19,747",19857493,Chords,intermediate, C, 2nd fret, E A D G B E
Ed Sheeran,Thinking Out Loud,"12,130",17939245,Chords,novice, D, 2nd fret, E A D G B E
Plain White T's,Airplane,695,16867243,Tab,intermediate, Gm,No Capo, E A D G B E
Coldplay,The Scientist ,"10,523",15183884,Chords,novice, Bm, 3rd fret, E A D G B E
Adele,Someone Like You ,"3,166",14972548,Chords,intermediate, A,No Capo, E A D G B E
Bruno Mars,When I Was Your Man,"14,428",14687286,Chords,novice, C,No Capo, E A D G B E
Metallica,Nothing Else Matters,"2,999",14583222,Tab,intermediate, Em,No Capo, E A D G B E
Justin Bieber,Love Yourself,"11,055",14329200,Chords,novice, E, 4th fret,E A D G B E
Vance Joy,Riptide ,"17,693",14057389,Chords,novice, Bbm, 1st fret, E A D G B E
Ed Sheeran,Photograph,"14,028",13952081,Chords,novice, E, 2nd fret, E A D G B E
Radiohead,Creep,"16,789",13684244,Chords,novice, G,No Capo, E A D G B E
Pink Floyd,Wish You Were Here,"14,884",13569404,Chords,novice, Em,No Capo, E A D G B E
Oasis,Wonderwall ,"7,767",13017729,Chords,intermediate, F#m, 2nd fret, E A D G B E
Oasis,Dont Look Back In Anger,"11,981",12942507,Chords,novice, C,No Capo, E A D G B E
Train,Hey Soul Sister ,"6,896",11729033,Chords,novice, C, 4th fret, E A D G B E
Eagles,Hotel California ,"2,047",11310041,Tab,intermediate, Bm,No Capo, E A D G B E
Goo Goo Dolls,Iris ,"4,240",11150677,Chords,novice, Bm,No Capo, E A D G B E
Ed Sheeran,I See Fire ,"9,646",11115061,Chords,novice, Bbm, 6th fret, E A D G B E
Taylor Swift,Love Story,"5,966",11073935,Chords,novice, C, 2nd fret, E A D G B E
Guns N' Roses,Sweet Child O Mine ,"2,773",10623670,Tab,intermediate, D,No Capo, Eb Ab Db Gb Bb Eb
Oasis,Wonderwall,"1,592",10608799,Chords,intermediate, F#m,No Capo, E A D G B E
Paramore,The Only Exception,"7,229",10596785,Chords,novice, B, 4th fret, E A D G B E
The Beatles,Let It Be,"6,517",10284189,Chords,novice, C,No Capo, E A D G B E
Coldplay,Viva La Vida,"9,339",10108319,Chords,intermediate, Ab, 1st fret, E A D G B E
Plain White T's,Hey There Delilah ,"7,815",10103645,Chords,novice, D,No Capo, E A D G B E
Imagine Dragons,Radioactive,"16,411",9646730,Chords,novice, Bm, 2nd fret, E A D G B E
Extreme,More Than Words,"4,270",9582233,Chords,intermediate, G,No Capo, Eb Ab Db Gb Bb Eb
Plain White T's,Hey There Delilah ,"3,815",9466024,Tab,intermediate, D,No Capo, E A D G B E
The Beatles,Hey Jude,"2,493",9385429,Chords,intermediate, F,No Capo, E A D G B E
Adele,Rolling In The Deep,"1,243",9207520,Chords,intermediate,Db,No Capo, E A D G B 
Eric Clapton,Tears In Heaven,"4,188",9054292,Tab,advanced, A,No Capo, E A D G B E
Jason Mraz,Im Yours,"2,343",8982960,Chords,novice, B,No Capo, E A D G B E
Green Day,Boulevard Of Broken Dreams ,"7,237",8864879,Chords,novice, Em, 1st fret, E A D G B E
Sam Smith,Stay With Me,"5,093",8850891,Chords,novice, Am,No Capo, E A D G B E
Kodaline,All I Want,"7,459",8848206,Chords,novice, C,No Capo, E A D G B E
Bruno Mars,Just The Way You Are,"3,857",8778319,Chords,novice, F, 3rd fret, E A D G B E
Ed Sheeran,The A Team Acoustic,"4,515",8693966,Chords,intermediate, A, 2nd fret, E A D G B E
Red Hot Chili Peppers,Under The Bridge,"2,241",8661431,Tab,intermediate, E,No Capo, E A D G B E
OneRepublic,Counting Stars,"5,914",8542468,Chords,intermediate, Am, 4th fret, E A D G B E
Johnny Cash,Hurt,"10,727",8490664,Chords,novice, Am,No Capo, E A D G B E
John Lennon,Imagine,"7,917",8370296,Chords,intermediate, C,No Capo, E A D G B E
Christina Perri,Jar Of Hearts,"3,879",8306419,Chords,novice, Cm, 1st fret, E A D G B E
Green Day,Good Riddance Time Of Your Life,"10,551",8142348,Chords,novice, G,No Capo, E A D G B E
The Animals,House Of The Rising Sun,"7,500",8008449,Chords,novice, Am,No Capo, E A D G B E
Taylor Swift,You Belong With Me ,"5,300",7875537,Chords,novice, F#, 4th fret, E A D G B E
Eagles,Hotel California,"15,298",7828362,Chords,novice, Bm, 2nd fret, E A D G B E
Pink Floyd,Wish You Were Here ,"2,473",7824756,Tab,novice, C,No Capo, E A D G B E
Coldplay,Fix You ,"6,749",7759633,Chords,novice, Eb, 3rd fret, E A D G B E
Metallica,One ,"2,798",7574596,Tab,intermediate, Bm,No Capo,E A D G B E
Green Day,Wake Me Up When September Ends ,"3,015",7552887,Tab,intermediate, G,No Capo, E A D G B E
Adele,Someone Like You,"9,885",7448482,Chords,novice, G, 2nd fret, E A D G B E
Bruno Mars,Grenade,"2,342",7405219,Chords,intermediate, Dm,No Capo, E A D G B E
Metallica,Fade To Black ,"2,209",7390749,Tab,intermediate, Am,No Capo, E A D G B E
Snow Patrol,Chasing Cars,"4,986",7324066,Chords,novice, A,No Capo, E A D G B E
The Fray,How To Save A Life,"3,262",7320778,Chords,intermediate, G, 3rd fret, E A D G B E
The Script,Breakeven,"2,958",7234731,Chords,novice, Em, 3rd fret, E A D G B E
Misc Cartoons,Frozen - Let It Go,"3,962",7063525,Chords,intermediate, G, 1st fret, E A D G B E
Rihanna,Stay,"4,835",7050875,Chords,novice, C,No Capo, E A D G B E
Misc Soundtrack,A Star Is Born - Shallow,"16,186",7012149,Chords,novice, E,No Capo, E A D G B E
The Beatles,Yesterday,"4,574",6966328,Chords,intermediate, F,No Capo, E A D G B E
A Great Big World,Say Something ,"6,072",6949917,Chords,novice, Bm,No Capo, E A D G B E
Creedence Clearwater Revival,Have You Ever Seen The Rain,"11,310",6942944,Chords,novice, C,No Capo, E A D G B E
Adele,When We Were Young,"6,786",6909347,Chords,novice, Cm, 3rd fret, E A D G B E
James Blunt,Youre Beautiful ,"2,970",6777892,Chords,novice, G, 8th fret, E A D G B E
James Arthur,Say You Wont Let Go ,"9,227",6703879,Chords,intermediate, G, 3rd fret, E A D G B E
Metallica,Enter Sandman ,"1,985",6681989,Tab,intermediate, Em,No Capo, E A D G B E
Metallica,Master Of Puppets ,"2,798",6668902,Tab,intermediate, Em,No Capo, E A D G B E
Lynyrd Skynyrd,Sweet Home Alabama Intro,"1,215",6642033,Tab,intermediate, D,No Capo, E A D G B E
Sam Smith,Im Not The Only One,"4,606",6634231,Chords,intermediate, F,No Capo, E A D G B E
The Lumineers,Ho Hey ,"5,429",6629377,Chords,novice, C,No Capo, E A D G B E
Death Cab for Cutie,I Will Follow You Into The Dark ,"8,217",6418598,Chords,novice, Am, 5th fret, E A D G B E
P!nk,Just Give Me A Reason,"2,450",6411118,Chords,novice, G,No Capo, E A D G B E
Don McLean,American Pie,"8,926",6409193,Chords,novice, G,No Capo, E A D G B E
Foster the People,Pumped Up Kicks,"3,452",6375105,Chords,intermediate, Fm,No Capo, E A D G B E
The Script,The Man Who Cant Be Moved,"2,179",6374771,Chords,intermediate, G, 3rd fret, E A D G B E
Lewis Capaldi,Someone You Loved,"13,055",6344820,Chords,novice, C#, 1st fret, E A D G B E
Bon Iver,Skinny Love ,"2,966",6338020,Chords,novice, Am,No Capo, E A D G B E
Oasis,Wonderwall ,"3,585",6294940,Chords,novice, F#m, 2nd fret, E A D G B E
The Cranberries,Zombie,"8,898",6201729,Chords,novice, Em,No Capo, E A D G B E
John Denver,Take Me Home Country Roads ,"10,127",6141961,Chords,novice, A, 2nd fret, E A D G B E
Nirvana,Smells Like Teen Spirit,"2,559",6089169,Tab,intermediate, F,No Capo, E A D G B E
Misc Soundtrack,A Star Is Born - Shallow ,"9,835",6066147,Chords,novice, G,No Capo, E A D G B E
Mumford & Sons,Little Lion Man,"3,468",5943697,Chords,novice,Db, 5th fret, E A D G B E
Kings of Leon,Use Somebody ,"2,163",5851237,Chords,intermediate, C,No Capo, E A D G B E
David Guetta,Titanium ,"4,884",5841356,Chords,novice, F, 3rd fret, E A D G B E
Armada,Harusnya Aku,208,5791697,Chords,intermediate, C,No Capo, E A D G B E
Gotye,Somebody That I Used To Know ,"2,518",5785810,Chords,novice, Dm, 5th fret, E A D G B E
The White Stripes,Seven Nation Army ,916,5751042,Tab,intermediate, E,No Capo,E A D G B E
Adele,Make You Feel My Love,"7,226",5652621,Chords,intermediate, G, 3rd fret, E A D G B E
Green Day,21 Guns,"2,063",5648870,Chords,novice, Dm,No Capo, E A D G B E
Kansas,Dust In The Wind,"1,876",5572153,Tab,intermediate, C,No Capo, E A D G B E
Ed Sheeran,Shape Of You ,"1,364",5542016,Chords,novice, C#m, 2nd fret, E A D G B E
Frank Sinatra,Fly Me To The Moon ,"6,087",5525592,Chords,novice, Am,No Capo, E A D G B E
Of Monsters and Men,Little Talks,"5,192",5523828,Chords,novice, Bbm, 1st fret, E A D G B E
Train,Drops Of Jupiter,"4,624",5471280,Chords,intermediate, C,No Capo, E A D G B E
Shawn Mendes,Stitches,"2,165",5463586,Chords,intermediate, Am, 1st fret, E A D G B E
Calum Scott,You Are The Reason ,"4,888",5382483,Chords,novice, Bb, 3rd fret, E A D G B E
Bob Dylan,Knockin On Heavens Door ,"7,763",5336523,Chords,novice, G,No Capo, E A D G B E
Jason Mraz,Lucky,"2,351",5334126,Chords,intermediate,Db,No Capo, E A D G B 
Radiohead,Karma Police ,"5,822",5328849,Chords,novice, Am,No Capo, E A D G B E
Fiersa Besari,Waktu Yang Salah,330,5314122,Chords,intermediate, C,No Capo, E A D G B E
Bob Marley,Redemption Song ,"4,783",5290834,Chords,novice, G,No Capo, E A D G B E
Secondhand Serenade,Fall For You ,"2,469",5283675,Chords,novice, Am,No Capo, E A D G B E
Cat Stevens,Father And Son,"8,952",5276414,Chords,novice, G,No Capo, E A D G B E
The Neighbourhood,Sweater Weather Acoustic,"6,037",5255441,Chords,novice, C, 3rd fret, E A D G B E
Beyoncé,Halo ,"2,926",5252368,Chords,intermediate, G, 2nd fret, E A D G B E
David Guetta,Titanium,"1,358",5202465,Chords,intermediate, Eb, 3rd fret, E A D G B E
Pink Floyd,Wish You Were Here ,"4,551",5192794,Tab,novice, C,No Capo, E A D G B E
Ed Sheeran,The A Team ,"2,842",5159267,Chords,intermediate, A, 2nd fret, E A D G B E
Imagine Dragons,Demons,"2,489",5116594,Chords,intermediate, D, 1st fret, E A D G B E
Dolly Parton,Jolene ,"12,281",5091242,Chords,novice, C#m, 4th fret, E A D G B E
4 Non Blondes,Whats Up ,"8,593",5085031,Chords,novice, A, 2nd fret, E A D G B E
Guns N' Roses,Sweet Child O Mine,"2,343",5078008,Chords,intermediate, D,No Capo, Eb Ab Db Gb Bb Eb
Extreme,More Than Words ,924,5002261,Tab,intermediate, F#,No Capo, Eb Ab Db Gb Bb Eb
Ben E. King,Stand By Me,"2,838",5000402,Chords,intermediate, A,No Capo, E A D G B E
Deep Purple,Smoke On The Water,843,4984725,Tab,intermediate, Gm,No Capo, E A D G B E
Black Sabbath,Iron Man ,"1,978",4919010,Tab,intermediate,Db,No Capo, E A D G B 
Red Hot Chili Peppers,Snow Hey Oh,"1,037",4886776,Tab,intermediate, Ebm,No Capo, E A D G B E
James Bay,Let It Go ,"4,422",4878097,Chords,novice, G, 6th fret, E A D G B E
MAGIC!,Rude ,"2,205",4875223,Chords,novice,Db, 6th fret, E A D G B E
Birdy,Skinny Love ,"4,001",4874060,Chords,novice, C#m, 4th fret, E A D G B E
Old Crow Medicine Show,Wagon Wheel,"6,435",4848567,Chords,novice,Db, 2nd fret, E A D G B E
Hillsong United,Oceans Where Feet May Fail,"3,924",4816826,Chords,intermediate, Bm,No Capo, E A D G B E
Avicii,Wake Me Up ,"1,413",4809121,Chords,novice, Bm,No Capo, E A D G B E
Ozzy Osbourne,Crazy Train ,"1,493",4742223,Tab,intermediate, A,No Capo, E A D G B E
Bryan Adams,Heaven,"2,628",4694640,Chords,intermediate, C,No Capo, E A D G B E
Jason Mraz,Im Yours,211,4690834,Tab,advanced, Bm,No Capo, E A D G B E
Matt Redman,10000 Reasons Bless The Lord,"4,895",4668875,Chords,novice, G,No Capo, E A D G B E
A Great Big World,Say Something ,"3,999",4649764,Chords,novice, Am, 2nd fret, E A D G B E
Elton John,Your Song,"4,938",4642132,Chords,intermediate, Eb, 1st fret, E A D G B E
Gary Jules,Mad World,"7,669",4613448,Chords,novice, Em, 1st fret, E A D G B E
Anji,Menunggu Kamu,477,4589646,Chords,novice, C,No Capo, E A D G B E
Avenged Sevenfold,So Far Away,"2,114",4488910,Chords,novice, Em,No Capo, E A D G B E
Queen,Love Of My Life,"5,347",4470829,Chords,intermediate, F, 3rd fret, E A D G B E
R.E.M.,Losing My Religion,"3,872",4435044,Chords,intermediate, Am,No Capo, E A D G B E
JerryC,Canon Rock,805,4418722,Tab,intermediate,Db,No Capo,E A D G B E
Sixpence None the Richer,Kiss Me ,"1,512",4413257,Chords,intermediate, D, 1st fret, E A D G B E
Ed Sheeran,Thinking Out Loud ,"3,541",4396608,Chords,novice, C, 2nd fret,E A D G B E
Taylor Swift,Teardrops On My Guitar,"2,685",4388913,Chords,novice, Bb, 3rd fret, E A D G B E
Oasis,Wonderwall ,"1,057",4385035,Chords,intermediate, Em, 2nd fret, E A D G B E
Lukas Graham,7 Years ,"4,206",4378504,Chords,novice, Gm, 3rd fret, E A D G B E
Bruno Mars,It Will Rain,"1,897",4334264,Chords,novice, C, 2nd fret, E A D G B E
Train,Hey Soul Sister,623,4331540,Chords,intermediate,Db,No Capo,E A D G B E
Queen,Bohemian Rhapsody ,"2,713",4332170,Chords,intermediate, G, 3rd fret, E A D G B E
The Beatles,Blackbird ,"3,695",4307051,Tab,intermediate, G,No Capo, E A D G B E
The Beatles,Let It Be ,"1,499",4289355,Chords,intermediate, C,No Capo, E A D G B E
Taylor Swift,Safe And Sound,"1,666",4267528,Chords,novice, Em, 5th fret, E A D G B E
Bright Eyes,First Day Of My Life,"4,936",4256284,Chords,novice, C, 4th fret, E A D G B E
The Beatles,Blackbird ,"2,334",4252301,Tab,intermediate, G,No Capo, E A D G B E
Tracy Chapman,Fast Car ,"3,133",4244311,Chords,intermediate, D, 2nd fret, E A D G B E
Coldplay,Yellow ,"7,914",4221597,Chords,novice, G, 4th fret, E A D G B E
Metallica,Nothing Else Matters ,"1,864",4194130,Tab,advanced,Db,No Capo, E A D G B 
Simon & Garfunkel,The Sound Of Silence ,"9,500",4185983,Chords,novice, Ebm, 6th fret, E A D G B E
Sia,Chandelier ,"3,293",4180299,Chords,novice, F, 1st fret, E A D G B E
Taylor Swift,I Knew You Were Trouble,"1,512",4178763,Chords,novice,Db, 4th fret, E A D G B E
Queen,Bohemian Rhapsody,"1,677",4165302,Chords,advanced, Bb,No Capo, E A D G B E
One Direction,Little Things ,"2,265",4110615,Chords,novice, G,No Capo, E A D G B E
Red Hot Chili Peppers,Californication,"3,487",4078628,Chords,intermediate, Am,No Capo, E A D G B E
Bruno Mars,The Lazy Song,368,4076879,Chords,intermediate,Db,No Capo, E A D G B 
Jason Mraz,Im Yours ,"1,010",4072749,Chords,intermediate, B,No Capo, E A D G B E
Sam Smith,Too Good At Goodbyes,"3,632",4015360,Chords,novice, Dm, 5th fret, E A D G B E
Justin Bieber,Baby,576,4003706,Chords,intermediate,Db, 2nd fret, E A D G B E
Taylor Swift,Blank Space,"1,835",3986839,Chords,intermediate, F, 3rd fret,E A D G B E
Journey,Dont Stop Believin,"3,179",3984418,Chords,novice, E,No Capo, E A D G B E
Aerosmith,I Dont Want To Miss A Thing,"1,012",3962737,Chords,novice, D,No Capo, E A D G B E
Lady A (Lady Antebellum),Need You Now,"1,692",3957661,Chords,novice, F, 4th fret, E A D G B E
Red Hot Chili Peppers,Californication,367,3943207,Tab,intermediate, Am,No Capo, E A D G B E
Ed Sheeran,Give Me Love ,"2,315",3935868,Chords,novice, Am, 2nd fret, E A D G B E
Bastille,Pompeii ,"4,449",3923438,Chords,novice, F#m, 2nd fret, E A D G B E
Linkin Park,Numb,"2,918",3911757,Chords,intermediate, F#m, 2nd fret, E A D G B E
The Beatles,Hey Jude ,"5,026",3899368,Chords,intermediate, D, 3rd fret, E A D G B E
Bruno Mars,The Lazy Song ,"1,316",3877516,Chords,intermediate, B, 4th fret, E A D G B E
Maroon 5,Payphone ,340,3861885,Chords,intermediate,Db, 4th fret, E A D G B E
Death Cab for Cutie,I Will Follow You Into The Dark,"1,028",3852542,Chords,intermediate,Db,No Capo, E A D G B 
The Beatles,Here Comes The Sun ,"3,041",3815279,Tab,intermediate, D, 7th fret, E A D G B E
Lifehouse,You And Me,648,3786347,Chords,intermediate,Db,No Capo, E A D G B 
Johnny Cash,Ring Of Fire,"4,536",3774968,Chords,intermediate, G,No Capo, E A D G B E
Adam Levine,Lost Stars,725,3774480,Chords,intermediate, F,No Capo, E A D G B E
Hozier,Take Me To Church Acoustic,"4,329",3737756,Chords,novice, Em,No Capo, E A D G B E
Bill Withers,Aint No Sunshine,"8,640",3727607,Chords,intermediate, Am,No Capo, E A D G B E
Metallica,One,467,3704340,Tab,intermediate, Bm,No Capo,E A D G B E
Green Day,Good Riddance Time Of Your Life ,"2,073",3699775,Tab,intermediate, Em,No Capo, E A D G B E
Jimi Hendrix,Purple Haze,"1,051",3689739,Tab,intermediate, Ebm,No Capo, E A D G B E
Pixies,Where Is My Mind,"2,485",3690317,Chords,intermediate, E,No Capo, E A D G B E
John Denver,Take Me Home Country Roads,"10,284",3681662,Chords,intermediate, A, 2nd fret, E A D G B E
Camila Cabello,Havana,"1,580",3656706,Chords,novice, Em, 3rd fret, E A D G B E
Mumford & Sons,I Will Wait ,"2,859",3614181,Chords,novice, Db, 1st fret, E A D G B E
Israel Kamakawiwo'ole,Over The Rainbow What A Wonderful World ,"1,192",3596698,Chords,intermediate,Db, 5th fret, E A D G B E
Carly Rae Jepsen,Call Me Maybe,505,3594314,Chords,intermediate, G,No Capo, E A D G B E
Taylor Swift,Back To December ,"1,512",3588272,Chords,novice, D,No Capo, E A D G B E
David Bowie,Space Oddity,"10,957",3584734,Chords,intermediate, C,No Capo, E A D G B E
Nirvana,Smells Like Teen Spirit,"1,477",3568122,Chords,intermediate, E, 1st fret, E A D G B E
Eric Clapton,Tears In Heaven,"2,794",3552126,Chords,intermediate, A,No Capo, E A D G B E
Nirvana,Come As You Are,625,3549516,Tab,intermediate, E,No Capo, D G C F A D
Meghan Trainor,Like Im Gonna Lose You ,"2,473",3525582,Chords,novice, C,No Capo, E A D G B E
AC/DC,Back In Black ,247,3508269,Tab,intermediate,Db,No Capo,E A D G B E
U2,With Or Without You,"1,988",3495529,Chords,intermediate, D,No Capo, E A D G B E
Taylor Swift,Everything Has Changed,"2,009",3488784,Chords,novice, D, 4th fret, E A D G B E
Charlie Puth,One Call Away,"3,195",3487862,Chords,intermediate, Db, 1st fret, E A D G B E
Jason Mraz,Im Yours Acoustic,337,3460890,Chords,intermediate,Db, 2nd fret, E A D G B E
Ed Sheeran,Lego House,"1,008",3454994,Chords,novice, B, 4th fret, E A D G B E
Metallica,Nothing Else Matters,"1,272",3452539,Chords,intermediate, Em,No Capo, E A D G B E
Red Hot Chili Peppers,Cant Stop,"1,212",3425172,Tab,intermediate, Em,No Capo, E A D G B E
