Artist,Song Name,Song Rating,Song Hits,Page Type,Difficulty,Key,Capo,Tuning
Misc Soundtrack,The Greatest Showman - Never Enough ,"3,543",2294640,Chords,novice, Ab, 1st fret, E A D G B E
Billie Eilish,When The Partys Over,"5,570",2290050,Chords,novice, A, 4th fret, E A D G B E
Cream,Sunshine Of Your Love ,759,2283904,Tab,intermediate, Dm,No Capo, E A D G B E
Bob Marley,Redemption Song,979,2281523,Chords,novice, G,No Capo, E A D G B E
Guns N' Roses,Sweet Child O Mine Solo,382,2280053,Tab,intermediate, D,No Capo,E A D G B E
Daft Punk,Get Lucky ,307,2279742,Chords,novice,Db,No Capo, E A D G B 
The Beatles,Help,"1,429",2276684,Chords,intermediate, A,No Capo, E A D G B E
Plain White T's,Hey There Delilah,"1,026",2274656,Chords,novice,Db,No Capo, E A D G B 
Ingrid Michaelson,You And I,"1,161",2273153,Chords,novice,Db,No Capo, E A D G B 
Ed Sheeran,Shape Of You,"1,924",2271171,Chords,novice, C#m,No Capo, E A D G B E
Bob Dylan,Dont Think Twice Its All Right ,"4,337",2264050,Chords,intermediate, C, 4th fret, E A D G B E
Adele,Hello,"1,260",2262393,Chords,intermediate, Em, 1st fret, E A D G B E
Demi Lovato,Skyscraper ,190,2253347,Chords,novice,Db,No Capo, E A D G B 
Eric Clapton,Wonderful Tonight ,"3,484",2251336,Chords,intermediate, G,No Capo, E A D G B E
Goo Goo Dolls,Iris ,763,2250565,Chords,intermediate, D,No Capo, E A D G B E
Miley Cyrus,The Climb ,650,2249025,Chords,intermediate, D, 2nd fret, E A D G B E
The Chainsmokers,Closer ,251,2246456,Chords,novice, C, 1st fret, E A D G B E
Elvis Presley,Cant Help Falling In Love,356,2246758,Tab,intermediate, G,No Capo, E A D G B E
Ben E. King,Stand By Me ,"3,252",2245111,Chords,novice, A, 2nd fret, E A D G B E
Misc Traditional,Happy Birthday,625,2241760,Chords,novice, A,No Capo, E A D G B E
The Beatles,Come Together,"2,483",2236355,Chords,novice, Dm,No Capo, E A D G B E
Limp Bizkit,Behind Blue Eyes,"1,094",2232307,Chords,intermediate, Em,No Capo, E A D G B E
Taylor Swift,Mean ,"1,073",2230017,Chords,novice,Db, 2nd fret,E A D G B E
Bob Dylan,Like A Rolling Stone ,"1,841",2218961,Chords,intermediate, C,No Capo, E A D G B E
Oasis,Wonderwall ,784,2218725,Chords,novice, F#m, 2nd fret, E A D G B E
Led Zeppelin,Babe Im Gonna Leave You ,"1,229",2216657,Tab,intermediate,Db,No Capo,E A D G B E
Muse,Knights Of Cydonia,929,2216044,Tab,intermediate,Db,No Capo, E A D G B 
Fiersa Besari,Waktu Yang Salah ,41,2213119,Chords,novice, G,No Capo, E A D G B E
Arctic Monkeys,Mardy Bum,"1,727",2210879,Chords,novice,Db,No Capo, E A D G B 
Misc Soundtrack,Pirates Of The Caribbean - Hes A Pirate ,457,2210200,Tab,intermediate, Dm,No Capo, E A D G B E
Shawn Mendes,Imagination,"1,122",2208837,Chords,intermediate, Am,No Capo, E A D G B E
Plain White T's,Hey There Delilah,383,2207479,Tab,intermediate,Db,No Capo, E A D G B 
AC/DC,Highway To Hell,612,2190805,Tab,intermediate, Ab,No Capo, Eb Ab Db Gb Bb Eb
Tom Petty,Free Fallin,663,2190327,Chords,novice, F, 8th fret, E A D G B E
Queen,Somebody To Love,"1,194",2188412,Chords,intermediate, Ab, 1st fret, E A D G B E
Maroon 5,This Love ,"1,407",2186950,Chords,intermediate,Db, 3rd fret, E A D G B E
Charlie Puth,We Dont Talk Anymore,"1,129",2185037,Chords,novice, E, 4th fret, E A D G B E
Auburn,Perfect Two,338,2179256,Chords,novice,Db,No Capo, E A D G B 
The Script,For The First Time ,"1,033",2178658,Chords,novice,Db, 2nd fret, E A D G B E
Green Day,Boulevard Of Broken Dreams Acoustic ,"2,436",2177829,Chords,intermediate,Db, 1st fret, E A D G B E
Alessia Cara,How Far Ill Go ,"1,634",2177749,Chords,novice, C, 4th fret, E A D G B E
Gotye,Somebody That I Used To Know,776,2175825,Chords,novice, Dm,No Capo, E A D G B E
Cage the Elephant,Cigarette Daydreams,"4,894",2175365,Chords,intermediate, D,No Capo, E A D G B E
Ellie Goulding,Love Me Like You Do ,"1,122",2170968,Chords,intermediate,Db,No Capo, E A D G B 
Green Day,Wake Me Up When September Ends,717,2169630,Chords,intermediate, G,No Capo, E A D G B E
Coheed and Cambria,Welcome Home,424,2168423,Tab,intermediate,Db,No Capo,E A D G B E
Ed Sheeran,Galway Girl,"2,514",2164373,Chords,novice, F#m, 2nd fret, E A D G B E
Marilyn Manson,Sweet Dreams Are Made Of This ,698,2157780,Tab,intermediate,Db,No Capo,E A D G B E
OutKast,Hey Ya,310,2148336,Chords,intermediate,Db,No Capo, E A D G B 
Taylor Swift,White Horse ,"1,050",2148254,Chords,intermediate,Db,No Capo, E A D G B 
Green Day,21 Guns ,694,2143296,Chords,intermediate,Db,No Capo, E A D G B 
Crowded House,Dont Dream Its Over,"2,830",2143321,Chords,intermediate, Eb, 3rd fret, E A D G B E
Eddie Vedder,Society,"2,506",2140891,Chords,novice, Bm,No Capo, E A D G B E
Callalily,Magbalik,178,2137783,Chords,intermediate, E,No Capo, E A D G B E
The Band,The Weight,"1,856",2137150,Chords,intermediate, A,No Capo, E A D G B E
Eraserheads,With A Smile,278,2137419,Chords,intermediate, G,No Capo, E A D G B E
Guns N' Roses,Welcome To The Jungle,447,2136712,Tab,intermediate,Db,No Capo, E A D G B 
Maroon 5,Memories,"3,226",2132538,Chords,novice, B, 4th fret, E A D G B E
Creedence Clearwater Revival,Proud Mary,"1,387",2129852,Chords,intermediate, D,No Capo, E A D G B E
Coldplay,The Scientist ,286,2116867,Chords,intermediate, Am,No Capo, E A D G B E
kahitna,Cantik,167,2114979,Chords,intermediate, A,No Capo, E A D G B E
Avril Lavigne,When Youre Gone ,297,2114149,Chords,intermediate,Db,No Capo, E A D G B 
Edwin McCain,Ill Be,651,2113190,Chords,intermediate,Db,No Capo, E A D G B 
Coldplay,Yellow ,961,2106597,Chords,novice, C,No Capo, E A D G B E
The Beatles,Something ,"2,503",2103806,Chords,intermediate, C,No Capo, E A D G B E
3 Doors Down,Here Without You ,248,2084837,Tab,intermediate,Db,No Capo,E A D G B E
Blink-182,I Miss You,969,2073875,Chords,novice, B,No Capo, Eb Ab Db Gb Bb Eb
Keane,Somewhere Only We Know ,503,2072903,Chords,intermediate, B, 2nd fret, E A D G B E
Lady Gaga,Million Reasons,"3,947",2071380,Chords,novice, C,No Capo, E A D G B E
James Arthur,Impossible,"1,653",2067062,Chords,novice, Em,No Capo, E A D G B E
Guns N' Roses,Knockin On Heavens Door,187,2065934,Tab,intermediate,Db,No Capo, Eb Ab Db Gb Bb E
Kings of Leon,Use Somebody,315,2064927,Tab,intermediate,Db,No Capo,E A D G B E
Arctic Monkeys,Do I Wanna Know,374,2062164,Tab,novice, Gm,No Capo, E A D G B E
Lil Wayne,How To Love,411,2061891,Chords,novice,Db, 4th fret, E A D G B E
Five for Fighting,Superman Its Not Easy,"1,400",2059444,Chords,intermediate, C,No Capo, E A D G B E
Johnny Cash,I Walk The Line ,"1,920",2059368,Chords,intermediate, F, 1st fret, E A D G B E
Taylor Swift,Speak Now,891,2058772,Chords,novice, G,No Capo, E A D G B E
Misc Traditional,Happy Birthday ,"1,274",2056091,Chords,novice, Db,No Capo, E A D G B E
Michael Jackson,Man In The Mirror,541,2053798,Chords,intermediate, G,No Capo, E A D G B E
City and Colour,The Girl,"1,571",2052055,Chords,novice,Db, 3rd fret, E A D G B E
Tenacious D,Tribute,"1,219",2047930,Chords,novice, Am,No Capo, E A D G B E
Slipknot,Snuff,"1,071",2039530,Chords,novice, F#m,No Capo, C# F# B E G# C#
a-ha,Take On Me,"1,096",2039620,Chords,novice, Bm,No Capo, E A D G B E
James Arthur,Say You Wont Let Go ,767,2029615,Chords,novice, G, 3rd fret, E A D G B E
The Kooks,Naive ,"1,057",2026356,Chords,intermediate,Db, 4th fret, E A D G B E
Tracy Chapman,Fast Car,433,2023252,Chords,intermediate,Db, 2nd fret, E A D G B E
Imagine Dragons,Believer ,"3,542",2020078,Chords,novice, Bbm, 1st fret, E A D G B E
Lady Gaga,Paparazzi ,703,2012865,Chords,intermediate, Cm, 1st fret, E A D G B E
Green Day,Wake Me Up When September Ends ,"3,621",2008757,Chords,novice, G,No Capo, E A D G B E
Adele,Turning Tables,"1,075",2003349,Chords,intermediate,Db, 1st fret,E A D G B E
Israel Kamakawiwo'ole,Over The Rainbow ,"2,655",2001804,Chords,novice, G, 5th fret, E A D G B E
Matt Redman,Blessed Be Your Name,"1,574",2000840,Chords,intermediate,Db, 4th fret, E A D G B E
Billie Eilish,Lovely,"2,913",1995360,Chords,novice, C,No Capo, E A D G B E
Taylor Swift,Wildest Dreams,"2,665",1993333,Chords,novice, Db, 1st fret, E A D G B E
Jessie J,Price Tag,506,1991415,Chords,novice, F, 5th fret, E A D G B E
Colbie Caillat,Realize,362,1990835,Chords,intermediate,Db, 6th fret,E A D G B E
Mariah Carey,All I Want For Christmas Is You ,"1,933",1989426,Chords,intermediate, G,No Capo, E A D G B E
The Beatles,I Want To Hold Your Hand ,"3,432",1987981,Chords,novice, G,No Capo, E A D G B E
Keane,Somewhere Only We Know,"2,171",1987963,Chords,intermediate, C,No Capo, E A D G B E
Daniel Powter,Bad Day ,"1,585",1982663,Chords,intermediate,Db, 1st fret, E A D G B E
Dewa 19,Kangen ,186,1976988,Chords,novice, D,No Capo, E A D G B E
Slayer,Raining Blood ,582,1976125,Tab,intermediate, D#m,No Capo, Eb Ab Db Gb Bb Eb
Alamid,Your Love,293,1963381,Chords,intermediate, Em,No Capo, E A D G B E
John Mayer,Free Fallin ,477,1962769,Tab,novice, F, 3rd fret, E A D G B E
Pink Floyd,Comfortably Numb,547,1957246,Tab,intermediate, Bm,No Capo, E A D G B E
Jessie J,Price Tag ,726,1955491,Chords,novice, F, 5th fret, E A D G B E
Simon & Garfunkel,The Boxer,"1,523",1955104,Chords,intermediate, B,No Capo, Eb Ab Db Gb Bb Eb
Sum 41,Fat Lip ,510,1952535,Tab,intermediate,Db,No Capo,E A D G B E
Taylor Swift,22,506,1952405,Chords,novice,Db,No Capo, E A D G B 
Jason Mraz,Lucky ,300,1952469,Chords,novice, C,No Capo, E A D G B E
Blink-182,All The Small Things ,590,1952108,Tab,intermediate,Db,No Capo, E A D G B 
Bon Jovi,Wanted Dead Or Alive ,"2,376",1948827,Chords,novice, D,No Capo, E A D G B E
Bruno Mars,Marry You ,"1,904",1947841,Chords,novice,Db, 3rd fret, E A D G B E
Ed Sheeran,All Of The Stars,"2,473",1947340,Chords,novice, B, 4th fret, E A D G B E
Johann Pachelbel,Canon In D ,796,1947043,Tab,intermediate,Db,No Capo,E A D G B E
John Mayer,Slow Dancing In A Burning Room ,455,1944763,Tab,intermediate, E,No Capo, E A D G B E
Queen,Dont Stop Me Now ,"1,638",1944806,Chords,intermediate, F,No Capo, E A D G B E
Louis Armstrong,What A Wonderful World ,"4,907",1941540,Chords,novice, F, 5th fret, E A D G B E
Shawn Mendes,Mercy,"1,800",1936419,Chords,novice, Em,No Capo, E A D G B E
Hillsong United,From The Inside Out,497,1936012,Chords,intermediate, C,No Capo, E A D G B E
Hinder,Lips Of An Angel,626,1934435,Chords,novice,Db,No Capo, D A D G B 
Elton John,Can You Feel The Love Tonight ,"2,474",1930395,Chords,intermediate, Eb, 3rd fret, E A D G B E
John Mayer,Daughters,544,1928779,Chords,intermediate, Bm,No Capo, E A D G B E
One Direction,You And I,981,1921961,Chords,novice, Gb, 1st fret, E A D G B E
Dire Straits,Sultans Of Swing ,"1,973",1921255,Chords,novice, Dm,No Capo, E A D G B E
Radiohead,Fake Plastic Trees,806,1920265,Chords,intermediate, A,No Capo, E A D G B E
Taylor Swift,Love Story ,339,1918992,Chords,novice, D,No Capo, E A D G B E
Lana Del Rey,Video Games,630,1916577,Chords,novice, Em, 2nd fret, E A D G B E
Taylor Swift,Shake It Off,"1,153",1915221,Chords,intermediate, G,No Capo, E A D G B E
Simple Plan,Summer Paradise,470,1913888,Chords,novice,Db,No Capo, E A D G B 
R.E.M.,Everybody Hurts,"2,794",1912881,Chords,intermediate, Em,No Capo, E A D G B E
Britney Spears,Toxic ,933,1906675,Chords,intermediate, Am, 3rd fret, E A D G B E
The Cure,Friday Im In Love,"2,756",1905358,Chords,intermediate,Db,No Capo, E A D G B 
Matisyahu,One Day,"1,033",1904850,Chords,intermediate, C,No Capo,E A D G B E
Ronan Keating,When You Say Nothing At All,373,1902425,Chords,intermediate, G,No Capo, E A D G B E
Lil Nas X,Old Town Road,"4,813",1900950,Chords,novice, Ab, 4th fret, E A D G B E
Foo Fighters,Everlong ,181,1899359,Tab,intermediate,Db,No Capo, D A D G B 
Katy Perry,The One That Got Away,961,1897027,Chords,intermediate,Db,No Capo, E A D G B 
John Lennon,Happy Xmas War Is Over ,961,1889378,Chords,novice, G,No Capo, E A D G B E
Bob Dylan,Blowin In The Wind,"3,453",1886420,Chords,novice, D, 7th fret, E A D G B E
Joe Anderson,Hey Jude,938,1883247,Chords,novice, D, 1st fret, E A D G B E
James Taylor,Youve Got A Friend,"1,446",1882944,Chords,intermediate, G, 2nd fret, E A D G B E
Maroon 5,She Will Be Loved ,"2,681",1880762,Chords,novice, Am, 3rd fret, E A D G B E
Green Day,Boulevard Of Broken Dreams,179,1879559,Tab,intermediate, Eb,No Capo, E A D G B E
Iron Maiden,The Trooper,451,1877420,Tab,intermediate,Db,No Capo, E A D G B 
Death Cab for Cutie,I Will Follow You Into The Dark,521,1874366,Tab,intermediate,Db, 5th fret, E A D G B E
James Blunt,Youre Beautiful,"1,044",1874444,Chords,intermediate, C, 3rd fret, E A D G B E
Taylor Swift,Red,"1,020",1866605,Chords,novice,Db, 4th fret,E A D G B E
Ben&Ben,Kathang Isip,714,1866252,Chords,novice, Eb, 3rd fret, E A D G B E
Chris Tomlin,Here I Am To Worship,"1,817",1864100,Chords,intermediate, D, 2nd fret, E A D G B E
Simon & Garfunkel,Bridge Over Troubled Water ,"1,208",1861051,Chords,novice, Eb, 3rd fret, E A D G B E
The Beatles,Let It Be ,"2,940",1860107,Chords,intermediate, C,No Capo,E A D G B E
Janis Joplin,Me And Bobby Mcgee,"1,723",1859374,Chords,intermediate,Db,No Capo, E A D G B 
System of a Down,Toxicity,524,1852061,Tab,intermediate,Db,No Capo, C G C F A 
Creed,One Last Breath,762,1849780,Tab,intermediate,Db,No Capo, E A D G B 
Hoobastank,The Reason,667,1845259,Chords,intermediate,Db,No Capo, E A D G B 
Goo Goo Dolls,Iris ,340,1844782,Tab,intermediate,Db,No Capo, E A D G B 
Parokya ni Edgar,Your Song,292,1843798,Chords,novice, B, 2nd fret, E A D G B E
Bob Marley,No Woman No Cry,"1,207",1843382,Chords,intermediate, C,No Capo, E A D G B E
Tenacious D,Fuck Her Gently,"1,837",1842907,Chords,intermediate,Db,No Capo,E A D G B E
Billie Eilish,Idontwannabeyouanymore,"4,586",1842378,Chords,intermediate, C,No Capo, E A D G B E
Wiz Khalifa,See You Again,"1,762",1837455,Chords,novice, Gm, 3rd fret, E A D G B E
Harry Styles,Sign Of The Times,"2,397",1836918,Chords,novice, F,No Capo, E A D G B E
The Righteous Brothers,Unchained Melody,"2,355",1833897,Chords,intermediate, C,No Capo, E A D G B E
Niall Horan,This Town,"3,598",1832503,Chords,intermediate, C, 2nd fret, E A D G B E
Stephen Speaks,Passenger Seat,118,1830527,Chords,intermediate,Db,No Capo, E A D G B 
Muse,Hysteria,685,1823282,Bass,advanced, Am,No Capo, E A D G
The Beatles,Blackbird ,"1,656",1816360,Chords,intermediate, G,No Capo, E A D G B E
Maroon 5,Payphone ,559,1814332,Chords,intermediate,Db, 4th fret, E A D G B E
Budi Doremi,Tolong,186,1805514,Chords,intermediate, A,No Capo, E A D G B E
Eagles,Hotel California ,"4,566",1804447,Chords,novice, A, 2nd fret, E A D G B E
Radiohead,No Surprises,"1,980",1803897,Chords,intermediate, F, 3rd fret, E A D G B E
This Band,Kahit Ayaw Mo Na,487,1799898,Chords,novice, D,No Capo, E A D G B E
Blink-182,Dammit,872,1795662,Tab,novice, C,No Capo, E A D G B E
The Smiths,There Is A Light That Never Goes Out,"1,406",1790828,Chords,intermediate, B, 4th fret, E A D G B E
Wiz Khalifa,See You Again ,598,1790394,Chords,intermediate, Em, 3rd fret,E A D G B E
Cyndi Lauper,Time After Time ,685,1789485,Chords,intermediate, F,No Capo, E A D G B E
Ed Sheeran,Photograph Intro ,"1,944",1787745,Tab,intermediate, C, 4th fret, E A D G B E
Kansas,Dust In The Wind ,"4,759",1782720,Chords,novice, C,No Capo, E A D G B E
Counting Crows,Accidentally In Love,"2,202",1782630,Chords,intermediate,Db,No Capo, E A D G B 
Green Day,Basket Case,442,1778467,Tab,intermediate,Db,No Capo, Eb Ab Db Gb Bb E
Enrique Iglesias,Hero ,"1,159",1775426,Chords,novice, G,No Capo, E A D G B E
Maroon 5,Girls Like You,"1,606",1774881,Chords,novice, C,No Capo, E A D G B E
The Rolling Stones,Paint It Black,"2,084",1774191,Chords,novice, Em,No Capo, E A D G B E
Justin Timberlake,Mirrors ,679,1770785,Chords,novice,Db, 1st fret, E A D G B E
The Chainsmokers,Closer ,"1,158",1770489,Chords,intermediate, C,No Capo, E A D G B E
Bing Crosby,White Christmas,"1,590",1767579,Chords,intermediate, G,No Capo, E A D G B E
All Time Low,Remembering Sunday,642,1765620,Chords,intermediate,Db, 2nd fret,E A D G B E
Eraserheads,Ang Huling El Bimbo,568,1765748,Chords,intermediate, G,No Capo,E A D G B E
Sublime,Santeria ,590,1762062,Tab,intermediate,Db,No Capo, E A D G B 
Miley Cyrus,We Cant Stop ,542,1760485,Chords,novice,Db, 4th fret, E A D G B E
Jack Johnson,Better Together ,511,1759884,Chords,intermediate,Db, 3rd fret, E A D G B E
Nirvana,About A Girl Acoustic,"1,069",1759195,Chords,intermediate, Em,No Capo, E A D G B E
Sheryl Crow,Sweet Child O Mine,541,1758686,Chords,intermediate, D,No Capo, E A D G B E
Tom Odell,Another Love,"1,355",1758720,Chords,novice, Em,No Capo, E A D G B E
Adele,Hello ,"2,585",1757925,Chords,novice, Em, 1st fret, E A D G B E
Rihanna,We Found Love,597,1753963,Chords,intermediate, F, 6th fret, E A D G B E
ZZ Top,Sharp Dressed Man,128,1753377,Tab,intermediate, Cm,No Capo, E A D G B E
Cory Asbury,Reckless Love ,"3,622",1752150,Chords,intermediate, Em,No Capo, Eb Ab Db Gb Bb Eb
Rivermaya,Kisapmata,275,1749477,Chords,intermediate, D,No Capo,E A D G B E
Hozier,Take Me To Church,990,1741763,Chords,intermediate, Em,No Capo, E A D G B E
Meghan Trainor,All About That Bass,531,1740855,Chords,novice, A,No Capo, E A D G B E
Simple Plan,Welcome To My Life,879,1739271,Chords,intermediate, Db, 1st fret, E A D G B E
Bon Jovi,Wanted Dead Or Alive ,"1,104",1738780,Chords,intermediate,Db,No Capo, E A D G B 
Evanescence,My Immortal Acoustic,833,1735990,Chords,intermediate,Db,No Capo, E A D G B 
Eraserheads,Pare Ko,272,1735894,Chords,intermediate, G,No Capo, E A D G B E
Nirvana,Come As You Are,407,1735052,Chords,intermediate,Db,No Capo, D G C F A 
The Beatles,Youve Got To Hide Your Love Away ,"1,594",1733846,Chords,intermediate, G,No Capo, E A D G B E
Oasis,Half The World Away ,"2,043",1732471,Chords,novice, C,No Capo, E A D G B E
Alex & Sierra,Little Do You Know,"1,982",1727932,Chords,novice, Am,No Capo, E A D G B E
John Lennon,Imagine ,"1,187",1726726,Chords,intermediate, C,No Capo,E A D G B E
The Police,Every Breath You Take ,387,1726263,Chords,intermediate, Ab,No Capo, Eb Ab Db Gb Bb Eb
Bon Jovi,Bed Of Roses,846,1726091,Chords,novice, F,No Capo, E A D G B E
Maroon 5,Sugar ,604,1725746,Chords,intermediate, Db, 1st fret, E A D G B E
